nodes,labels,used_,used
0,13dpg_c,FALSE,FALSE
1,2pg_c,FALSE,FALSE
2,3pg_c,FALSE,FALSE
3,adp_c,FALSE,FALSE
4,amp_c,FALSE,FALSE
5,atp_c,FALSE,FALSE
6,dhap_c,FALSE,FALSE
7,f6p_c,FALSE,FALSE
8,fdp_c,FALSE,FALSE
9,g3p_c,FALSE,FALSE
10,g6p_c,FALSE,FALSE
11,glc__D_c,TRUE,TRUE
12,h_c,FALSE,FALSE
13,h2o_c,FALSE,FALSE
14,lac__L_c,FALSE,FALSE
15,nad_c,FALSE,FALSE
16,nadh_c,FALSE,FALSE
17,pep_c,FALSE,FALSE
18,pi_c,FALSE,FALSE
19,pyr_c,TRUE,TRUE
20,glc__D_e,TRUE,TRUE
21,lac__L_e,FALSE,FALSE
22,pyr_e,TRUE,TRUE
